Time (UTCG),Angle (deg),AngleRate (deg/sec)
6:52:00 PM,0.062,0
6:52:01 PM,0.062,0
6:52:02 PM,0.062,0
6:52:03 PM,0.062,0
6:52:04 PM,0.062,0
6:52:05 PM,0.062,0
6:52:06 PM,0.062,0
6:52:07 PM,0.062,0
6:52:08 PM,0.062,0
6:52:09 PM,0.062,0
6:52:10 PM,0.062,0
6:52:11 PM,0.062,0
6:52:12 PM,0.062,0
6:52:13 PM,0.062,0
6:52:14 PM,0.062,0
6:52:15 PM,0.062,0
6:52:16 PM,0.062,0
6:52:17 PM,0.062,0
6:52:18 PM,0.062,0
6:52:19 PM,0.062,0
6:52:20 PM,0.062,0
6:52:21 PM,0.062,0
6:52:22 PM,0.062,0
6:52:23 PM,0.062,0
6:52:24 PM,0.062,0
6:52:25 PM,0.062,0
6:52:26 PM,0.062,0
6:52:27 PM,0.062,0
6:52:28 PM,0.062,0
6:52:29 PM,0.062,0
6:52:30 PM,0.062,0
6:52:31 PM,0.062,0
6:52:32 PM,0.062,0
6:52:33 PM,0.062,0
6:52:34 PM,0.062,0
6:52:35 PM,0.062,0
6:52:36 PM,0.062,0
6:52:37 PM,0.062,0
6:52:38 PM,0.062,0
6:52:39 PM,0.062,0
6:52:40 PM,0.062,0
6:52:41 PM,0.062,0
6:52:42 PM,0.062,0
6:52:43 PM,0.062,0
6:52:44 PM,0.062,0
6:52:45 PM,0.062,0
6:52:46 PM,0.062,0
6:52:47 PM,0.062,0
6:52:48 PM,0.062,0
6:52:49 PM,0.062,0
6:52:50 PM,0.062,0
6:52:51 PM,0.062,0
6:52:52 PM,0.062,0
6:52:53 PM,0.062,0
6:52:54 PM,0.062,0
6:52:55 PM,0.062,0
6:52:56 PM,0.062,0
6:52:57 PM,0.062,0
6:52:58 PM,0.062,0
6:52:59 PM,0.062,0
6:53:00 PM,0.062,0
6:53:01 PM,0.062,0
6:53:02 PM,0.062,0
6:53:03 PM,0.062,0
6:53:04 PM,0.062,0
6:53:05 PM,0.062,0
6:53:06 PM,0.062,0
6:53:07 PM,0.062,0
6:53:08 PM,0.062,0
6:53:09 PM,0.062,0
6:53:10 PM,0.062,0
6:53:11 PM,0.062,0
6:53:12 PM,0.062,0
6:53:13 PM,0.062,0
6:53:14 PM,0.062,0
6:53:15 PM,0.062,0
6:53:16 PM,0.062,0
6:53:17 PM,0.062,0
6:53:18 PM,0.062,0
6:53:19 PM,0.062,0
6:53:20 PM,0.062,0
6:53:21 PM,0.062,0
6:53:22 PM,0.062,0
6:53:23 PM,0.062,0
6:53:24 PM,0.062,0
6:53:25 PM,0.062,0
6:53:26 PM,0.062,0
6:53:27 PM,0.062,0
6:53:28 PM,0.062,0
6:53:29 PM,0.062,0
6:53:30 PM,0.062,0
6:53:31 PM,0.062,0
6:53:32 PM,0.062,0
6:53:33 PM,0.062,0
6:53:34 PM,0.062,0
6:53:35 PM,0.062,0
6:53:36 PM,0.062,0
6:53:37 PM,0.062,0
6:53:38 PM,0.062,0
6:53:39 PM,0.062,0
6:53:40 PM,0.062,0
6:53:41 PM,0.062,0
6:53:42 PM,0.062,0
6:53:43 PM,0.062,0
6:53:44 PM,0.062,0
6:53:45 PM,0.062,0
6:53:46 PM,0.062,0
6:53:47 PM,0.062,0
